"","Month","Day","Ozone","OzoneDelta","Solar.R","SolarDelta","Wind","WindDelta","Temp","TempDelta"
"1",5,1,41,-1.1,190,5.2,7.4,-2.5,67,-10.8
"2",5,2,36,-6.1,118,-66.8,8,-1.9,72,-5.8
"3",5,3,12,-30.1,149,-35.8,12.6,2.7,74,-3.8
"4",5,4,18,-24.1,313,128.2,11.5,1.6,62,-15.8
"7",5,7,23,-19.1,299,114.2,8.6,-1.3,65,-12.8
"8",5,8,19,-23.1,99,-85.8,13.8,3.9,59,-18.8
"9",5,9,8,-34.1,19,-165.8,20.1,10.2,61,-16.8
"12",5,12,16,-26.1,256,71.2,9.7,-0.2,69,-8.8
"13",5,13,11,-31.1,290,105.2,9.2,-0.7,66,-11.8
"14",5,14,14,-28.1,274,89.2,10.9,1,68,-9.8
"15",5,15,18,-24.1,65,-119.8,13.2,3.3,58,-19.8
"16",5,16,14,-28.1,334,149.2,11.5,1.6,64,-13.8
"17",5,17,34,-8.1,307,122.2,12,2.1,66,-11.8
"18",5,18,6,-36.1,78,-106.8,18.4,8.5,57,-20.8
"19",5,19,30,-12.1,322,137.2,11.5,1.6,68,-9.8
"20",5,20,11,-31.1,44,-140.8,9.7,-0.2,62,-15.8
"21",5,21,1,-41.1,8,-176.8,9.7,-0.2,59,-18.8
"22",5,22,11,-31.1,320,135.2,16.6,6.7,73,-4.8
"23",5,23,4,-38.1,25,-159.8,9.7,-0.2,61,-16.8
"24",5,24,32,-10.1,92,-92.8,12,2.1,61,-16.8
"28",5,28,23,-19.1,13,-171.8,12,2.1,67,-10.8
"29",5,29,45,2.9,252,67.2,14.9,5,81,3.2
"30",5,30,115,72.9,223,38.2,5.7,-4.2,79,1.2
"31",5,31,37,-5.1,279,94.2,7.4,-2.5,76,-1.8
"38",6,7,29,-13.1,127,-57.8,9.7,-0.2,82,4.2
"40",6,9,71,28.9,291,106.2,13.8,3.9,90,12.2
"41",6,10,39,-3.1,323,138.2,11.5,1.6,87,9.2
"44",6,13,23,-19.1,148,-36.8,8,-1.9,82,4.2
"47",6,16,21,-21.1,191,6.2,14.9,5,77,-0.8
"48",6,17,37,-5.1,284,99.2,20.7,10.8,72,-5.8
"49",6,18,20,-22.1,37,-147.8,9.2,-0.7,65,-12.8
"50",6,19,12,-30.1,120,-64.8,11.5,1.6,73,-4.8
"51",6,20,13,-29.1,137,-47.8,10.3,0.4,76,-1.8
"62",7,1,135,92.9,269,84.2,4.1,-5.8,84,6.2
"63",7,2,49,6.9,248,63.2,9.2,-0.7,85,7.2
"64",7,3,32,-10.1,236,51.2,9.2,-0.7,81,3.2
"66",7,5,64,21.9,175,-9.8,4.6,-5.3,83,5.2
"67",7,6,40,-2.1,314,129.2,10.9,1,83,5.2
"68",7,7,77,34.9,276,91.2,5.1,-4.8,88,10.2
"69",7,8,97,54.9,267,82.2,6.3,-3.6,92,14.2
"70",7,9,97,54.9,272,87.2,5.7,-4.2,92,14.2
"71",7,10,85,42.9,175,-9.8,7.4,-2.5,89,11.2
"73",7,12,10,-32.1,264,79.2,14.3,4.4,73,-4.8
"74",7,13,27,-15.1,175,-9.8,14.9,5,81,3.2
"76",7,15,7,-35.1,48,-136.8,14.3,4.4,80,2.2
"77",7,16,48,5.9,260,75.2,6.9,-3,81,3.2
"78",7,17,35,-7.1,274,89.2,10.3,0.4,82,4.2
"79",7,18,61,18.9,285,100.2,6.3,-3.6,84,6.2
"80",7,19,79,36.9,187,2.2,5.1,-4.8,87,9.2
"81",7,20,63,20.9,220,35.2,11.5,1.6,85,7.2
"82",7,21,16,-26.1,7,-177.8,6.9,-3,74,-3.8
"85",7,24,80,37.9,294,109.2,8.6,-1.3,86,8.2
"86",7,25,108,65.9,223,38.2,8,-1.9,85,7.2
"87",7,26,20,-22.1,81,-103.8,8.6,-1.3,82,4.2
"88",7,27,52,9.9,82,-102.8,12,2.1,86,8.2
"89",7,28,82,39.9,213,28.2,7.4,-2.5,88,10.2
"90",7,29,50,7.9,275,90.2,7.4,-2.5,86,8.2
"91",7,30,64,21.9,253,68.2,7.4,-2.5,83,5.2
"92",7,31,59,16.9,254,69.2,9.2,-0.7,81,3.2
"93",8,1,39,-3.1,83,-101.8,6.9,-3,81,3.2
"94",8,2,9,-33.1,24,-160.8,13.8,3.9,81,3.2
"95",8,3,16,-26.1,77,-107.8,7.4,-2.5,82,4.2
"99",8,7,122,79.9,255,70.2,4,-5.9,89,11.2
"100",8,8,89,46.9,229,44.2,10.3,0.4,90,12.2
"101",8,9,110,67.9,207,22.2,8,-1.9,90,12.2
"104",8,12,44,1.9,192,7.2,11.5,1.6,86,8.2
"105",8,13,28,-14.1,273,88.2,11.5,1.6,82,4.2
"106",8,14,65,22.9,157,-27.8,9.7,-0.2,80,2.2
"108",8,16,22,-20.1,71,-113.8,10.3,0.4,77,-0.8
"109",8,17,59,16.9,51,-133.8,6.3,-3.6,79,1.2
"110",8,18,23,-19.1,115,-69.8,7.4,-2.5,76,-1.8
"111",8,19,31,-11.1,244,59.2,10.9,1,78,0.2
"112",8,20,44,1.9,190,5.2,10.3,0.4,78,0.2
"113",8,21,21,-21.1,259,74.2,15.5,5.6,77,-0.8
"114",8,22,9,-33.1,36,-148.8,14.3,4.4,72,-5.8
"116",8,24,45,2.9,212,27.2,9.7,-0.2,79,1.2
"117",8,25,168,125.9,238,53.2,3.4,-6.5,81,3.2
"118",8,26,73,30.9,215,30.2,8,-1.9,86,8.2
"120",8,28,76,33.9,203,18.2,9.7,-0.2,97,19.2
"121",8,29,118,75.9,225,40.2,2.3,-7.6,94,16.2
"122",8,30,84,41.9,237,52.2,6.3,-3.6,96,18.2
"123",8,31,85,42.9,188,3.2,6.3,-3.6,94,16.2
"124",9,1,96,53.9,167,-17.8,6.9,-3,91,13.2
"125",9,2,78,35.9,197,12.2,5.1,-4.8,92,14.2
"126",9,3,73,30.9,183,-1.8,2.8,-7.1,93,15.2
"127",9,4,91,48.9,189,4.2,4.6,-5.3,93,15.2
"128",9,5,47,4.9,95,-89.8,7.4,-2.5,87,9.2
"129",9,6,32,-10.1,92,-92.8,15.5,5.6,84,6.2
"130",9,7,20,-22.1,252,67.2,10.9,1,80,2.2
"131",9,8,23,-19.1,220,35.2,10.3,0.4,78,0.2
"132",9,9,21,-21.1,230,45.2,10.9,1,75,-2.8
"133",9,10,24,-18.1,259,74.2,9.7,-0.2,73,-4.8
"134",9,11,44,1.9,236,51.2,14.9,5,81,3.2
"135",9,12,21,-21.1,259,74.2,15.5,5.6,76,-1.8
"136",9,13,28,-14.1,238,53.2,6.3,-3.6,77,-0.8
"137",9,14,9,-33.1,24,-160.8,10.9,1,71,-6.8
"138",9,15,13,-29.1,112,-72.8,11.5,1.6,71,-6.8
"139",9,16,46,3.9,237,52.2,6.9,-3,78,0.2
"140",9,17,18,-24.1,224,39.2,13.8,3.9,67,-10.8
"141",9,18,13,-29.1,27,-157.8,10.3,0.4,76,-1.8
"142",9,19,24,-18.1,238,53.2,10.3,0.4,68,-9.8
"143",9,20,16,-26.1,201,16.2,8,-1.9,82,4.2
"144",9,21,13,-29.1,238,53.2,12.6,2.7,64,-13.8
"145",9,22,23,-19.1,14,-170.8,9.2,-0.7,71,-6.8
"146",9,23,36,-6.1,139,-45.8,10.3,0.4,81,3.2
"147",9,24,7,-35.1,49,-135.8,10.3,0.4,69,-8.8
"148",9,25,14,-28.1,20,-164.8,16.6,6.7,63,-14.8
"149",9,26,30,-12.1,193,8.2,6.9,-3,70,-7.8
"151",9,28,14,-28.1,191,6.2,14.3,4.4,75,-2.8
"152",9,29,18,-24.1,131,-53.8,8,-1.9,76,-1.8
"153",9,30,20,-22.1,223,38.2,11.5,1.6,68,-9.8
